lon,lat,F475W,e_F475W,F814W,e_F814W,F110W,e_F110W,F160W,e_F160W,period,src,reference,equinox,bounding
10.91937,41.21261,22.948,0.052,20.682,0.04,19.982,0.073,19.303,0.1,10.045,PAndromeda,icrs,J2000,ccs
11.27651,41.69481,20.764,0.037,19.608,0.053,19.333,0.057,18.883,0.046,10.054,PAndromeda,icrs,J2000,ccs
11.01628,41.62777,21.076,0.009,19.796,0.033,19.213,0.081,18.786,0.088,10.101,PAndromeda,icrs,J2000,ccs
11.46423,42.14078,21.448,0.006,19.823,0.004,19.173,0.052,18.719,0.063,10.234,PAndromeda,icrs,J2000,ccs
11.02203,41.23451,22.039,0.036,20.254,0.025,19.686,0.105,19.134,0.111,10.29,DIRECT    ,icrs,J2000,ccs
11.09179,41.35495,21.736,0.014,19.94,0.021,19.49,0.101,18.989,0.114,10.296,PAndromeda,icrs,J2000,ccs
11.1849,41.92719,21.163,0.005,19.796,0.017,19.452,0.097,18.895,0.108,10.3,Riess     ,icrs,J2000,ccs
11.17153,41.40722,22.208,0.037,20.239,0.024,19.399,0.1,18.858,0.105,10.35,DIRECT    ,icrs,J2000,ccs
11.34817,42.03007,21.452,0.034,19.829,0.017,19.666,0.027,19.076,0.038,10.371,PAndromeda,icrs,J2000,ccs
11.38078,41.88077,21.902,0.035,20.033,0.02,19.53,0.044,19.056,0.07,10.43,Riess     ,icrs,J2000,ccs
11.35831,42.04045,21.834,0.007,20.117,0.004,19.626,0.166,19.054,0.186,10.462,PAndromeda,icrs,J2000,ccs
10.87337,41.23684,21.06,0.009,19.541,0.043,19.313,0.102,18.804,0.096,10.495,PAndromeda,icrs,J2000,ccs
11.70992,42.00694,20.957,0.033,19.567,0.015,19.051,0.077,18.618,0.088,10.521,PAndromeda,icrs,J2000,ccs
11.13846,41.62605,21.12,0.004,19.548,0.006,19.167,0.051,18.616,0.032,10.567,DIRECT    ,icrs,J2000,ccs
11.36852,41.65947,22.249,0.008,20.258,0.007,19.886,0.077,19.249,0.101,10.574,PAndromeda,icrs,J2000,ccs
11.05337,41.30684,22.346,0.011,20.267,0.007,19.72,0.116,19.116,0.125,10.635,PAndromeda,icrs,J2000,ccs
10.97247,41.63117,20.445,0.033,19.365,0.014,19.105,0.059,18.662,0.059,10.73,Riess     ,icrs,J2000,ccs
10.97452,41.22365,22.625,0.026,20.264,0.032,19.54,0.055,18.907,0.071,10.74,PAndromeda,icrs,J2000,ccs
10.7426,41.18894,21.046,0.01,19.658,0.009,19.146,0.124,18.679,0.138,10.76,PAndromeda,icrs,J2000,ccs
11.1698,41.39944,21.772,0.035,20.141,0.022,19.504,0.103,19.035,0.123,10.847,DIRECT    ,icrs,J2000,ccs
11.09179,41.66419,21.8,0.035,19.999,0.02,19.483,0.085,19.022,0.08,10.865,PAndromeda,icrs,J2000,ccs
10.98764,41.24036,23.13,0.07,19.874,0.02,19.494,0.116,18.671,0.105,10.938,DIRECT    ,icrs,J2000,ccs
11.09263,41.32135,20.808,0.029,19.586,0.019,19.301,0.133,18.828,0.142,10.943,DIRECT    ,icrs,J2000,ccs
11.41021,41.90365,23.098,0.057,20.676,0.04,19.843,0.132,19.142,0.133,10.946,PAndromeda,icrs,J2000,ccs
11.57628,42.21595,22.5,0.041,20.399,0.029,19.92,0.115,19.311,0.119,10.97,Riess     ,icrs,J2000,ccs
11.23197,41.86521,20.984,0.004,19.5,0.004,19.189,0.041,18.752,0.06,11.132,PAndromeda,icrs,J2000,ccs
11.3325,41.78882,22.337,0.006,20.241,0.006,19.352,0.07,18.786,0.081,11.136,PAndromeda,icrs,J2000,ccs
11.61509,42.07467,20.619,0.033,19.444,0.014,19.447,0.109,18.91,0.116,11.145,PAndromeda,icrs,J2000,ccs
11.41549,41.91047,20.838,0.033,19.554,0.015,19.314,0.095,18.826,0.115,11.167,PAndromeda,icrs,J2000,ccs
11.04634,41.65467,22.076,0.014,20.048,0.016,19.475,0.053,18.903,0.081,11.19,PAndromeda,icrs,J2000,ccs
10.76212,41.22746,21.147,0.01,19.744,0.027,19.176,0.159,18.543,0.167,11.291,PAndromeda,icrs,J2000,ccs
11.06595,41.80143,21.502,0.006,19.734,0.007,19.427,0.127,18.882,0.179,11.303,PAndromeda,icrs,J2000,ccs
11.15404,41.87646,21.827,0.03,20.067,0.018,19.547,0.138,18.957,0.144,11.4899,DIRECT    ,icrs,J2000,ccs
11.24624,41.48685,21.416,0.034,19.887,0.018,19.223,0.054,18.711,0.047,11.584,PAndromeda,icrs,J2000,ccs
11.09267,41.83988,21.213,0.033,19.692,0.016,19.142,0.086,18.586,0.101,11.6333,DIRECT    ,icrs,J2000,ccs
10.99279,41.29555,22.084,0.011,20.151,0.01,19.479,0.109,18.958,0.125,11.639,PAndromeda,icrs,J2000,ccs
11.42104,41.74723,21.507,0.007,19.952,0.005,19.42,0.05,18.834,0.076,11.647,PAndromeda,icrs,J2000,ccs
11.01715,41.462,20.494,0.003,19.358,0.005,19.395,0.073,18.977,0.096,11.695,DIRECT    ,icrs,J2000,ccs
11.67337,42.06851,21.387,0.033,19.799,0.017,19.255,0.083,18.775,0.092,11.732,PAndromeda,icrs,J2000,ccs
10.78481,41.48735,20.604,0.033,19.248,0.014,19.011,0.088,18.586,0.098,12.186,PAndromeda,icrs,J2000,ccs
11.03933,41.65913,20.526,0.008,19.312,0.009,18.827,0.045,18.453,0.074,12.316,PAndromeda,icrs,J2000,ccs
10.93365,41.18493,22.396,0.04,20.265,0.025,19.298,0.056,18.656,0.081,12.318,DIRECT    ,icrs,J2000,ccs
11.57586,42.18446,21.114,0.033,19.61,0.015,19.445,0.02,18.851,0.028,12.33,Riess     ,icrs,J2000,ccs
11.12911,41.61332,21.815,0.006,19.829,0.005,19.09,0.071,18.471,0.062,12.355,PAndromeda,icrs,J2000,ccs
10.87055,41.17036,22.512,0.029,20.138,0.019,19.399,0.117,18.873,0.09,12.432,PAndromeda,icrs,J2000,ccs
11.22565,41.70518,21.287,0.033,19.556,0.015,18.995,0.09,18.518,0.13,12.506,PAndromeda,icrs,J2000,ccs
10.96508,41.62044,21.733,0.034,19.904,0.018,19.059,0.059,18.603,0.081,12.517,PAndromeda,icrs,J2000,ccs
11.18589,41.41695,22.7,0.013,20.367,0.021,19.365,0.057,18.688,0.053,12.52,PAndromeda,icrs,J2000,ccs
11.09173,41.39662,22.111,0.037,19.991,0.02,19.501,0.106,18.878,0.11,12.566,DIRECT    ,icrs,J2000,ccs
11.32624,41.65053,22.084,0.03,20.169,0.015,19.707,0.048,18.995,0.044,12.576,PAndromeda,icrs,J2000,ccs
11.3086,41.7645,21.104,0.004,19.434,0.004,18.913,0.05,18.533,0.066,12.755,PAndromeda,icrs,J2000,ccs
11.13178,41.41355,21.857,0.035,19.94,0.019,18.987,0.074,18.63,0.092,12.77,PAndromeda,icrs,J2000,ccs
11.40777,41.80889,23.324,0.068,20.557,0.035,19.155,0.094,18.593,0.099,12.809,DIRECT    ,icrs,J2000,ccs
11.30335,41.82973,20.932,0.033,19.47,0.015,19.312,0.062,18.797,0.074,12.83,Riess     ,icrs,J2000,ccs
11.0335,41.54018,24.089,0.143,21.664,0.15,20.871,0.175,19.983,0.169,12.833,PAndromeda,icrs,J2000,ccs
11.52916,41.84132,21.491,0.039,19.93,0.058,19.318,0.09,18.852,0.113,12.835,PAndromeda,icrs,J2000,ccs
11.0963,41.5883,20.197,0.005,19.214,0.036,18.904,0.077,18.521,0.093,12.847,PAndromeda,icrs,J2000,ccs
11.10786,41.54567,20.654,0.033,19.329,0.014,18.793,0.075,18.382,0.09,12.893,PAndromeda,icrs,J2000,ccs
10.89616,41.25884,25.082,0.095,21.331,0.061,19.678,0.131,18.67,0.12,12.95,Riess     ,icrs,J2000,ccs
11.12951,41.43609,23.763,0.102,20.545,0.034,19.445,0.074,18.465,0.089,12.965,DIRECT    ,icrs,J2000,ccs
11.34359,41.90341,21.309,0.033,19.529,0.015,19.101,0.038,18.532,0.062,13.028,PAndromeda,icrs,J2000,ccs
11.41544,41.80819,21.767,0.005,19.727,0.003,19.319,0.094,18.694,0.1,13.097,DIRECT    ,icrs,J2000,ccs
11.0911,41.37233,21.388,0.014,19.514,0.016,19.212,0.087,18.667,0.095,13.169,PAndromeda,icrs,J2000,ccs
10.94188,41.30273,20.652,0.031,19.387,0.018,19.408,0.134,18.908,0.14,13.17,DIRECT    ,icrs,J2000,ccs
10.94423,41.19147,23.472,0.078,20.784,0.046,19.398,0.093,18.773,0.103,13.272,PAndromeda,icrs,J2000,ccs
11.1315,41.6321,21.927,0.011,19.807,0.007,19.105,0.076,18.558,0.061,13.273,PAndromeda,icrs,J2000,ccs
11.03234,41.29437,23.156,0.03,20.459,0.013,19.407,0.094,18.772,0.098,13.317,DIRECT    ,icrs,J2000,ccs
11.03872,41.66203,21.58,0.009,19.746,0.01,19.124,0.059,18.645,0.073,13.35,PAndromeda,icrs,J2000,ccs
11.01682,41.23156,21.772,0.035,19.799,0.017,19.181,0.089,18.567,0.09,13.529,PAndromeda,icrs,J2000,ccs
11.14333,41.91177,20.285,0.032,19.053,0.013,18.818,0.037,18.346,0.066,13.557,PAndromeda,icrs,J2000,ccs
10.93901,41.38147,22.115,0.037,19.978,0.019,19.361,0.101,18.732,0.106,13.569,PAndromeda,icrs,J2000,ccs
11.0976,41.84098,21.674,0.034,19.739,0.016,19.411,0.096,18.904,0.114,13.6616,DIRECT    ,icrs,J2000,ccs
11.09086,41.32203,21.337,0.014,19.678,0.019,19.271,0.095,18.677,0.098,13.663,PAndromeda,icrs,J2000,ccs
11.25244,41.55306,23.073,0.05,20.492,0.018,19.489,0.142,18.752,0.168,13.726,PAndromeda,icrs,J2000,ccs
10.85919,41.20046,21.881,0.035,19.863,0.018,19.321,0.101,18.719,0.113,13.78,PAndromeda,icrs,J2000,ccs
11.16329,41.88196,22.054,0.036,20.012,0.02,19.427,0.058,18.799,0.058,13.844,PAndromeda,icrs,J2000,ccs
11.33095,41.6661,20.841,0.006,19.316,0.004,18.927,0.028,18.448,0.037,14.121,PAndromeda,icrs,J2000,ccs
11.2029,41.48761,20.471,0.008,19.083,0.014,18.709,0.052,18.312,0.098,14.122,PAndromeda,icrs,J2000,ccs
10.9498,41.16738,21.898,0.061,19.894,0.004,19.124,0.057,18.518,0.067,14.28,PAndromeda,icrs,J2000,ccs
10.92881,41.17148,20.907,0.007,19.407,0.018,19.096,0.073,18.453,0.068,14.401,PAndromeda,icrs,J2000,ccs
11.44533,41.91199,22.618,0.043,20.324,0.027,19.526,0.061,18.848,0.067,14.568,PAndromeda,icrs,J2000,ccs
10.91211,41.61009,21.573,0.005,19.778,0.005,19.264,0.056,18.703,0.063,14.5762,DIRECT    ,icrs,J2000,ccs
11.25857,41.56571,21.37,0.033,19.732,0.016,19.311,0.117,18.64,0.128,14.595,PAndromeda,icrs,J2000,ccs
11.18231,41.47654,22.148,0.033,19.845,0.011,19.221,0.07,18.533,0.072,14.66,PAndromeda,icrs,J2000,ccs
11.09838,41.86347,21.61,0.034,19.706,0.016,18.938,0.03,18.416,0.036,14.687,PAndromeda,icrs,J2000,ccs
10.94925,41.20005,22.227,0.013,19.877,0.01,18.985,0.04,18.416,0.08,14.718,PAndromeda,icrs,J2000,ccs
11.04018,41.31037,22.641,0.019,20.023,0.017,19.437,0.105,18.771,0.108,14.921,PAndromeda,icrs,J2000,ccs
11.39401,41.82891,20.72,0.006,19.247,0.006,18.696,0.06,18.106,0.065,14.93,Riess     ,icrs,J2000,ccs
11.17984,41.38028,19.944,0.004,19.414,0.031,19.474,0.141,19.234,0.231,15.065,PAndromeda,icrs,J2000,ccs
10.92532,41.24889,21.503,0.034,19.466,0.015,19.23,0.085,18.592,0.107,15.255,DIRECT    ,icrs,J2000,ccs
11.39338,41.9373,21.829,0.007,19.88,0.006,18.948,0.039,18.352,0.06,15.415,PAndromeda,icrs,J2000,ccs
11.65177,42.12868,21.734,0.008,19.89,0.005,19.315,0.101,18.781,0.133,15.435,PAndromeda,icrs,J2000,ccs
10.9579,41.22274,22.122,0.037,19.773,0.017,19.377,0.068,18.686,0.08,15.475,PAndromeda,icrs,J2000,ccs
11.20931,41.45263,22.257,0.021,19.827,0.005,19.297,0.041,18.521,0.047,15.507,PAndromeda,icrs,J2000,ccs
11.37736,41.65763,21.63,0.007,19.754,0.006,18.788,0.047,18.292,0.054,15.591,PAndromeda,icrs,J2000,ccs
11.69386,42.14185,22.541,0.042,20.133,0.022,19.457,0.093,18.724,0.091,15.742,PAndromeda,icrs,J2000,ccs
10.77733,41.24188,20.276,0.006,18.963,0.038,18.991,0.153,18.41,0.16,15.75,PAndromeda,icrs,J2000,ccs
10.90476,41.24197,21.756,0.011,19.735,0.009,18.852,0.08,18.297,0.108,15.906,PAndromeda,icrs,J2000,ccs
11.04639,41.80194,21.006,0.01,19.325,0.02,18.947,0.072,18.366,0.081,16.083,PAndromeda,icrs,J2000,ccs
11.45536,41.86436,21.215,0.033,19.57,0.015,19.042,0.032,18.479,0.061,16.097,PAndromeda,icrs,J2000,ccs
